time,cells
0.0,1
0.010239606799098914,1
0.020479213598197828,1
0.030718820397296745,1
0.040958427196395655,1
0.05119803399549457,1
0.06143764079459349,1
0.0716772475936924,1
0.08191685439279131,1
0.09215646119189023,2
0.10239606799098915,2
0.11263567479008806,2
0.12287528158918698,2
0.1331148883882859,2
0.1433544951873848,2
0.1535941019864837,2
0.16383370878558262,2
0.17407331558468156,3
0.18431292238378047,4
0.19455252918287938,4
0.2047921359819783,4
0.2150317427810772,4
0.2252713495801761,4
0.23551095637927505,4
0.24575056317837396,4
0.25599016997747287,4
0.2662297767765718,5
0.2764693835756707,6
0.2867089903747696,8
0.2969485971738685,8
0.3071882039729674,9
0.31742781077206633,9
0.32766741757116524,12
0.3379070243702642,14
0.3481466311693631,14
0.35838623796846203,14
0.36862584476756094,17
0.37886545156665985,17
0.38910505836575876,17
0.39934466516485767,18
0.4095842719639566,18
0.4198238787630555,19
0.4300634855621544,19
0.4403030923612533,19
0.4505426991603522,21
0.46078230595945113,26
0.4710219127585501,27
0.481261519557649,27
0.4915011263567479,27
0.5017407331558468,30
0.5119803399549457,32
0.5222199467540446,34
0.5324595535531436,36
0.5426991603522425,38
0.5529387671513414,40
0.5631783739504403,44
0.5734179807495392,48
0.5836575875486382,49
0.593897194347737,52
0.604136801146836,58
0.6143764079459348,63
0.6246160147450338,68
0.6348556215441327,72
0.6450952283432316,83
0.6553348351423305,88
0.6655744419414295,94
0.6758140487405284,100
0.6860536555396273,107
0.6962932623387262,116
0.7065328691378251,125
0.7167724759369241,134
0.7270120827360229,152
0.7372516895351219,165
0.7474912963342207,180
0.7577309031333197,188
0.7679705099324186,198
0.7782101167315175,210
0.7884497235306164,228
0.7986893303297153,241
0.8089289371288143,259
0.8191685439279132,282
0.8294081507270121,307
0.839647757526111,330
0.84988736432521,354
0.8601269711243088,382
0.8703665779234078,411
0.8806061847225066,432
0.8908457915216056,463
0.9010853983207044,493
0.9113250051198034,528
0.9215646119189023,565
0.9318042187180012,609
0.9420438255171002,660
0.952283432316199,714
0.962523039115298,756
0.9727626459143969,812
0.9830022527134958,890
0.9932418595125947,953
1.0,1000
