x_pos,y_pos,radius_i,ID_i,norm_rand_i
9.317909941554243,70.91621900268724,5.064278857960911,0,1.2949895715100923
0.6164823940864429,68.29535464775697,5.064278857960911,803,2.443877981808537
2.7545351964539564,79.36540885053968,6.86336461714529,479,2.17686845070875
15.133518291337928,79.59884545659074,6.442268202217092,238,2.496394830790616
26.792801154827618,81.36045386212788,6.442268202217092,657,2.7050496977320533
13.139451524256888,42.68535689951162,5.72767411941968,142,1.801687660329334
12.552442285899428,32.49682541904838,5.72767411941968,623,2.6946520853746474
3.2109466797724795,28.588727859543418,5.61037045308313,449,1.8261873903110961
10.714348966676962,21.753290397724314,5.61037045308313,670,1.6034975592891967
3.685212670168914,50.54136459214842,4.931472463555037,158,1.7186425088896151
4.710272985246409,59.843449399927835,4.931472463555037,855,2.8982557404340255
13.682453674751622,53.427820193821255,6.84721701766018,381,2.0310263646365914
24.474051888781435,50.51346948791995,5.778092649858187,249,1.8826552484447596
32.72955939803975,44.00850883357379,5.778092649858187,817,1.9246475711435578
-5.275736790260399,85.86049781096945,4.813980114484032,46,1.3602916068275936
-7.862591459296771,94.15311529389142,4.813980114484032,881,1.4588075174947392
8.888080003077985,90.47319446548512,6.787181417678326,473,2.52051169609076
-15.411141636877751,84.50640230006339,6.411998560680868,314,2.163169803156167
-27.347150607119296,83.63641236776088,6.411998560680868,631,1.6731244305435378
-29.780422323991704,108.25477319823011,6.664113841081655,102,2.1855523202577523
-27.327148717247162,95.92916761649046,6.664113841081655,563,2.2400930120787654
-10.50726452211756,117.95681128346631,7.019802425606816,273,2.1653631516712335
-16.836558732998807,106.59086482174064,7.019802425606816,419,2.6517153977075045
-0.5163201100872787,126.26781540397215,7.18711604196158,30,2.200402537727541
0.08447671675418478,114.54775553705231,5.134683605546094,404,1.8716194594945756
-5.234243274618612,106.12075475342087,5.134683605546094,869,1.579055977715047
15.650238069459473,153.53490173001816,6.871090919656669,206,1.9792536554124418
2.6082174886265186,152.29497041374978,6.871090919656669,522,2.3623128139698597
-20.064583130553256,138.90064139958278,5.190865012802762,117,2.464138756084928
-18.098130385634168,148.4376686986791,5.190865012802762,748,1.630491021092446
-8.870124446883272,152.0713553182084,5.266632372762361,400,1.8840091691515135
-10.46398158119062,141.85829445930784,5.266632372762361,722,1.3156570740501436
-0.4000223320043682,138.585974561621,5.900633560558239,342,1.9837985811437675
10.144351641298227,142.41087100009003,5.900633560558239,822,2.16709675788691
9.373349379437153,162.53435247220864,4.781540474046881,62,2.424887248247181
9.4608902719536,171.82961313052508,4.781540474046881,775,2.647473788635569
-0.8595135827681458,164.9065660085533,6.347683894508543,647,2.1631080313727025
-11.433295920922532,166.60032489143518,4.975849523450776,307,1.9427917716445036
-16.568778395902672,158.37347955557848,4.975849523450776,813,2.2682311508863737
-28.44625287138714,163.05170943831334,4.846202614454634,470,2.211979510206171
-25.302842573872056,154.55533130778443,4.846202614454634,863,2.9718029537886084
-20.690974565877912,168.23082815836923,4.898473156016906,104,2.3962303280839166
-29.30512010608036,172.4432607464398,4.898473156016906,796,1.7083314263804166
-38.898122395587585,166.02752541614979,6.601183961599986,578,1.9609271280289695
-36.56558368078251,153.89665248742133,5.645880119501548,266,1.8675488777856708
-47.84339119128247,155.634638829464,5.645880119501548,711,1.8520294966624324
-55.46449495277376,146.71097396476753,6.220588380875407,312,1.750554806489767
-29.202815847641975,144.8983380293015,6.220588380875407,467,2.4868241684739707
19.861764690322655,89.47667786455081,5.343131086916119,18,1.4293287140811302
17.235272126269145,98.8671702209926,5.343131086916119,720,1.5665869447775163
38.3255451555154,84.07652845595516,6.971999351650595,403,2.3029873175396993
23.16967902336735,70.95477146965327,5.911088076618006,216,1.5651985627692655
15.844367657528236,63.90781104486731,5.911088076618006,876,2.3893069407749894
41.36628847806874,61.523382045252696,6.746122698029295,146,2.062901134541805
34.503728728352336,71.6481061131566,6.746122698029295,429,2.15708696284161
56.23743310018581,53.74488366321499,8.092945905070765,260,2.661118069614008
39.677733284611605,96.6153197217016,5.895509043484261,78,1.9132386908732992
29.677382896611572,92.58047312184927,5.895509043484261,540,1.8587605648711305
49.72787305334031,89.14364617585282,7.1814539595116695,514,2.1157303696856533
40.99154258945989,109.47832526570024,5.579866936132244,176,1.9005451302464824
50.16700885184823,114.23230103033634,5.579866936132244,839,2.682270766608149
31.461337951892855,114.08401200012925,5.929013017876517,330,1.6122587854557364
33.37663437171647,104.19372593785893,4.325333240149723,669,1.9524777909614341
25.861494950293665,101.341558544112,4.325333240149723,845,1.8157141894113502
80.05133420590379,83.60293915823489,7.297739172582808,41,2.3158055146604744
79.63286008681216,69.8683997322731,7.297739172582808,319,2.6513688854053945
102.71303518871825,80.98027235528714,6.78118541026884,296,2.121588687740751
92.08456020269749,88.51412030236234,6.78118541026884,471,2.0371476797789225
64.42186611818066,41.34885671783152,7.192281876528177,133,2.7179893192404836
75.29662402911406,37.173834362267556,5.263441172182992,457,2.942531516605675
84.2720963599926,41.3140031823202,5.263441172182992,814,1.835689518783561
94.84111103415248,46.20528325219594,6.9236565658099005,174,2.285726171797994
79.42999013412789,58.50169088735797,5.085711287098196,573,2.2894242292466913
85.38599728508215,51.310334028230145,5.085711287098196,811,1.7914123758463945
43.23783665283499,49.36196397178683,6.641783414387886,24,2.328682752770235
28.360194506625216,61.89237752804313,4.9085722345000065,523,2.269830826791363
33.56039744738003,54.13007422978944,4.9085722345000065,805,1.7628019899476095
41.63534717979091,37.38094932156138,6.5170558911595275,289,2.184472977429802
52.316199117264944,41.10419593001324,6.5170558911595275,577,1.8296660354520369
40.51778523422913,26.091208563958958,6.414317974855376,134,1.818134625554078
31.000020385411226,32.55915097091304,6.414317974855376,482,1.8439842624056613
56.92592112778544,30.985660087429657,5.662146032337364,306,1.4633656950827336
50.52840925983029,22.629879039396435,5.662146032337364,812,2.099166019887232
43.63952261102725,3.4153176207879343,7.405277425580797,145,2.4637317461506743
42.452214158434906,15.378183970938949,5.839292389579357,407,1.4141378613179842
30.622126685916243,21.296150131679585,5.839292389579357,617,1.802461442793623
84.49614362570821,16.023814695901052,6.946863114731185,51,2.181264212759069
