beta,time
0.0,13.69109357384442
0.01,13.799323562570462
0.02,13.623449830890642
0.03,13.772266065388951
0.04,13.379932356257045
0.05,13.109357384441939
0.06,13.285231116121759
0.07,13.474633596392334
0.08,13.86696730552424
0.09,13.217587373167982
0.1,13.5152198421646
0.11,13.799323562570462
0.12,12.987598647125141
0.13,13.880496054114994
0.14,13.406989853438557
0.15,13.5152198421646
0.16,13.488162344983088
0.17,13.74520856820744
0.18,14.245772266065389
0.19,13.948139797068771
0.2,13.298759864712514
0.21,13.488162344983088
0.22,13.474633596392334
0.23,13.650507328072154
0.24,13.664036076662908
0.25,13.623449830890642
0.26,13.948139797068771
0.27,13.69109357384442
0.28,14.29988726042841
0.29,13.853438556933483
0.3,13.785794813979708
0.31,14.069898534385569
0.32,13.839909808342728
0.33,13.596392333709131
0.34,13.393461104847802
0.35000000000000003,14.069898534385569
0.36,13.528748590755356
0.37,13.826381059751974
0.38,13.474633596392334
0.39,13.948139797068771
0.4,13.650507328072154
0.41000000000000003,14.042841037204058
0.42,13.880496054114994
0.43,14.069898534385569
0.44,13.447576099210822
0.45,13.894024802705749
0.46,14.015783540022548
0.47000000000000003,14.069898534385569
0.48,14.137542277339346
0.49,14.191657271702368
0.5,14.029312288613303
0.51,14.286358511837655
0.52,14.232243517474634
0.53,13.880496054114994
0.54,14.205186020293123
0.55,14.191657271702368
0.56,14.421645997745209
0.5700000000000001,14.164599774520857
0.58,14.124013528748591
0.59,14.732807215332581
0.6,14.354002254791432
0.61,14.191657271702368
0.62,14.65163472378805
0.63,14.556933483652761
0.64,14.705749718151072
0.65,14.435174746335964
0.66,14.665163472378804
0.67,14.989853438556933
0.68,14.949267192784667
0.6900000000000001,15.05749718151071
0.7000000000000001,15.395715896279594
0.71,15.314543404735062
0.72,15.341600901916573
0.73,15.355129650507328
0.74,15.382187147688839
0.75,15.747463359639234
0.76,15.476888387824125
0.77,16.031567080045097
0.78,16.11273957158963
0.79,16.329199549041714
0.8,17.00563697857948
0.81,16.437429537767756
0.8200000000000001,16.532130777903046
0.8300000000000001,16.95152198421646
0.84,17.479143179255917
0.85,17.33032694475761
0.86,17.627959413754226
0.87,17.790304396843293
0.88,19.210822998872604
0.89,19.40022547914318
0.9,19.562570462232244
0.91,20.49605411499436
0.92,20.861330326944756
0.93,21.90304396843292
0.9400000000000001,23.337091319052988
0.9500000000000001,23.580608793686583
0.96,25.258173618940248
0.97,26.719278466741827
0.98,30.507328072153324
0.99,35.83765501691094
