x,y,r,a,f,inhibition_value
5.084161255724401,-2.9682217191145317,5.574084696859717,0.9960492328135633,0.7883955018649973,2.0
-4.0744510531579206,-11.10973801679765,5.495952470146347,0.9954163617575683,0.7441424924250337,2.0
5.859820200821796,-13.132320677954572,4.775660751985402,0.994435397195862,0.7269466023414085,2.0
-2.512875357951216,18.08848574130081,4.752458275560505,0.9948352503487294,0.7320550721290774,2.0
15.559169567078055,1.0504338160978381,5.81369751852841,0.9963581789201742,0.7657270803455355,2.0
-23.877146124271523,10.195397540074705,5.936591514169385,0.9957644983632072,0.7202350198990292,2.0
23.276107661961017,10.128080319789813,6.28028826010476,0.9963845020636201,0.7960039523430869,2.0
16.13538766380983,-10.559845602055061,5.914630005914467,0.998330146100656,0.8440440441953243,2.0
15.035284509638817,17.957622486511124,5.213593117338331,0.9964869726037915,0.765456023300585,2.0
12.03298725861884,-21.244942313238973,5.584740424007507,0.9967379873051821,0.8081955424651033,2.0
-5.40283518347256,-0.508344279973219,5.365392494134218,0.9951721897725195,0.743350277828451,2.0
-12.890165257851791,-19.52184968274489,6.84612475303619,0.997837799410673,0.7906882519880982,2.0
-42.315668796313545,-12.740682542660615,4.756227120952658,0.99551125462301,0.7458165582431456,2.0
-0.32857005522866284,-21.835650367314887,6.007787660891816,0.9969844095560269,0.7778564770216926,2.0
5.884009580294,9.690251652763099,7.2342095378808295,0.9986987227327654,0.8329839150187153,2.0
-14.715265030013558,4.149229678591768,5.214796670823881,0.9969769557439738,0.8238150042015946,2.0
-14.588386262653142,-6.941420908302537,5.911054950945488,0.9983814105928444,0.7981637765219352,2.0
-13.792130260154037,17.53978564561705,6.676087634190728,0.9976082684839037,0.7918990846159978,2.0
-23.823073163478938,-0.865873331295873,5.236581531007598,0.9973080255307818,0.7866687891966657,2.0
22.284720421190027,-25.96257597950453,5.876646247476154,0.9972761183685332,0.8196461200167302,2.0
25.71932502062034,22.49245843962494,6.490614107513759,0.9964835624318018,0.7454816900153621,2.0
6.443474012677927,35.25723224734537,6.281749708718746,0.9969305353503634,0.7467051530464078,2.0
-4.6959296499555006,29.065900802706608,6.552495472142997,0.998698931251767,0.8573217373891433,2.0
35.01759580655017,4.970380374902299,6.735047659729167,0.995459650722164,0.7467708800004779,2.0
31.8046732242757,-23.93804602815251,4.009311435824248,0.9910987026890173,0.7285564201701831,2.0
-24.855545185026852,-11.223915519983827,5.284800452044624,0.9978018385760857,0.8019911626144356,2.0
-33.48877548479762,-16.998290427796224,5.1539543204194285,0.9974095177911426,0.7910328476283022,2.0
15.635968600726834,28.403832931777607,5.327633737028331,0.9965476239252014,0.7684838618447638,2.0
-17.605242337432976,28.46957675779613,5.03465666773827,0.9977320720658279,0.8297374759005713,2.0
-6.003828027383837,9.405164423923834,4.716740386069891,0.9962632111470804,0.7963516879260548,2.0
45.93786747740301,-34.81531713067166,5.165207698489011,0.9944574134495776,0.7303791924815798,2.0
35.22960453348421,16.484590290323347,4.944313264745281,0.994760308744623,0.7707250551990418,2.0
-7.696529695963695,-30.956707465839973,5.842619074792489,0.996672306992158,0.7693081399218311,2.0
-53.42404741451858,-32.936608430194916,7.321070927938906,0.9977592881857196,0.7985802344079843,2.0
36.81602142412692,-17.873985323650643,4.013726708248299,0.9918611267564311,0.6951581827573953,2.0
6.014926842778557,23.58055002540744,5.527687458728499,0.9972601963525461,0.7871261923216543,2.0
50.336184647744616,-4.857704515547013,6.847481515297203,0.9983231593711429,0.8161018637370776,2.0
34.95333981192186,30.56948514596953,5.8133637334760815,0.9990145341092886,0.8686633894514995,2.0
26.033394144488184,-3.4302643712581893,5.686774570109904,0.9980148646848913,0.8609991174552862,2.0
-12.84153409011513,37.77843667090493,5.501028361294037,0.9975963597427286,0.8016859092267381,2.0
-34.24648905305461,14.61339287231531,5.518772177633085,0.9954545213963949,0.7573969404501388,2.0
