beta,time
0.0,13.569334836527622
0.1,13.799323562570462
0.11,13.74520856820744
0.12,13.379932356257045
0.13,12.974069898534385
0.14,13.704622322435174
0.15,13.474633596392334
0.16,14.164599774520857
0.17,13.596392333709131
0.18,13.5152198421646
0.19,13.244644870349493
0.2,14.164599774520857
0.21,13.975197294250282
0.22,13.907553551296505
0.23,14.435174746335964
0.24,13.758737316798197
0.25,13.231116121758737
0.26,13.71815107102593
0.27,13.231116121758737
0.28,14.367531003382187
0.29,13.664036076662908
0.3,13.582863585118377
0.31,14.002254791431792
0.32,14.015783540022548
0.33,13.569334836527622
0.34,13.54227733934611
0.35,14.543404735062007
0.36,13.961668545659526
0.37,13.86696730552424
0.38,14.164599774520857
0.39,14.029312288613303
0.4,14.556933483652761
0.41,14.340473506200677
0.42,13.54227733934611
0.43,14.313416009019166
0.44,14.462232243517475
0.45,14.435174746335964
0.46,14.381059751972943
0.47,14.597519729425029
0.48,14.164599774520857
0.49,14.421645997745209
0.5,13.86696730552424
0.51,14.1510710259301
0.52,14.394588500563698
0.53,14.800450958286358
0.54,14.462232243517475
0.55,14.705749718151072
0.56,14.813979706877113
0.57,14.962795941375422
0.58,14.367531003382187
0.59,14.47576099210823
0.6,14.638105975197295
0.61,15.28748590755355
0.62,15.206313416009019
0.63,15.28748590755355
0.64,15.61217587373168
0.65,14.813979706877113
0.66,14.82750845546787
0.67,15.341600901916573
0.68,15.706877113866968
0.69,15.449830890642616
0.7,15.84216459977452
0.71,16.437429537767756
0.72,15.625704622322434
0.73,15.896279594137543
0.74,16.640360766629087
0.75,16.39684329199549
0.76,16.680947012401354
0.77,16.80270574971815
0.78,17.600901916572717
0.79,17.61443066516347
0.8,17.668545659526494
0.81,18.00676437429538
0.82,18.426155580608793
0.83,19.27846674182638
0.84,18.95377677564825
0.85,20.171364148816235
0.86,20.117249154453212
0.87,20.942502818489288
0.88,22.038331454340472
0.89,23.134160090191656
0.9,23.62119503945885
0.91,25.13641488162345
0.92,26.340473506200677
0.93,27.706877113866966
0.94,29.871476888387825
0.95,52.07215332356257
0.996,107.47237880721534
0.997,120.60879369109358
0.998,147.61217588275085
0.999,220.35625701691094
